naics_code_2022,naics_title_2022,cbp_mapping_type,cbp_source_naics_2017_codes,cbp_establishments_2022,cbp_employment_2022,cbp_annual_payroll_usd_2022,cbp_average_annual_pay_usd_2022
332510,Hardware Manufacturing,direct,332510,550,30575,1930842000,63151.01
332613,Spring Manufacturing,direct,332613,340,16123,951806000,59034.05
332618,Other Fabricated Wire Product Manufacturing,direct,332618,676,18732,1097223000,58574.79
332710,Machine Shops,direct,332710,17433,218350,13449119000,61594.32
332721,Precision Turned Product Manufacturing,direct,332721,3939,102053,6232435000,61070.57
332722,"Bolt, Nut, Screw, Rivet and Washer Manufacturing",direct,332722,709,35382,2353940000,66529.31
332811,Metal Heat Treating,direct,332811,725,18553,1226810000,66124.62
332812,"Metal Coating, Engraving (except Jewelry and Silverware), and Allied Services to Manufacturers",direct,332812,2677,53201,3041397000,57168.04
332813,"Electroplating, Plating, Polishing, Anodizing and Coloring",direct,332813,2005,46263,2521304000,54499.36
332911,Industrial Valve Manufacturing,direct,332911,458,32727,2457739000,75098.21
332912,Fluid Power Valve and Hose Fitting Manufacturing,direct,332912,343,30332,2179693000,71861.17
332913,Plumbing Fixture Fitting and Trim Manufacturing,direct,332913,128,9384,569354000,60672.85
332919,Other Metal Valve and Pipe Fitting Manufacturing,direct,332919,215,12789,848431000,66340.68
332991,Ball and Roller Bearing Manufacturing,direct,332991,178,18936,1205535000,63663.66
332992,Small Arms Ammunition Manufacturing,direct,332992,175,14645,933690000,63754.87
332993,Ammunition (except Small Arms) Manufacturing,direct,332993,61,13856,1384948000,99952.94
332994,"Small Arms, Ordnance, and Ordnance Accessories Manufacturing",direct,332994,517,25407,1810126000,71245.17
332996,Fabricated Pipe and Pipe Fitting Manufacturing,direct,332996,724,26615,1762863000,66235.69
332999,All Other Miscellaneous Fabricated Metal Product Manufacturing,direct,332999,3410,68683,4021278000,58548.37
333111,Farm Machinery and Equipment Manufacturing,direct,333111,1118,67750,4883476000,72080.83
333112,Lawn and Garden Tractor and Home Lawn and Garden Equipment Manufacturing,direct,333112,143,18262,977373000,53519.49
333120,Construction Machinery Manufacturing,direct,333120,666,64443,4852053000,75292.17
333131,Mining Machinery and Equipment Manufacturing,direct,333131,268,10114,737120000,72881.15
333132,Oil and Gas Field Machinery and Equipment Manufacturing,direct,333132,626,29919,2458311000,82165.55
333241,Food Product Machinery Manufacturing,direct,333241,512,18510,1510494000,81604.21
333242,Semiconductor Machinery Manufacturing,direct,333242,181,24209,3441774000,142169.19
333243,"Sawmill, Woodworking, and Paper Machinery Manufacturing",direct,333243,375,12990,1014433000,78093.38
333248,All Other Industrial Machinery Manufacturing,aggregated_2017_to_2022,333244|333249,1842,58310,4419633000,75795.46
333310,Commercial and Service Industry Machinery Manufacturing,aggregated_2017_to_2022,333314|333316|333318,1728,77092,6497423000,84281.42
333413,Industrial and Commercial Fan and Blower and Air Purification Equipment Manufacturing,direct,333413,472,28581,1628348000,56973.09
333414,Heating Equipment (except Warm Air Furnaces) Manufacturing,direct,333414,360,17004,1111662000,65376.5
333415,Air‑Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing,direct,333415,829,99520,6045631000,60747.9
333511,Industrial Mold Manufacturing,direct,333511,1286,31052,1944563000,62622.79
333514,"Special Die and Tool, Die Set, Jig and Fixture Manufacturing",direct,333514,2006,40862,2747824000,67246.44
333515,Cutting Tool and Machine Tool Accessory Manufacturing,direct,333515,1094,24529,1592074000,64905.78
333517,Machine Tool Manufacturing,direct,333517,1200,28273,2042534000,72243.27
